,latitude,longitude,color
163,40.750523,-73.971679,#00aa0088
164,40.73792,-73.983919,#aa000088
165,40.789269,-73.975956,#00aa0088
166,40.7878,-73.955862,#aa000088
167,40.763378,-73.974936,#00aa0088
168,40.726572,-73.983229,#aa000088
169,40.721962,-73.999742,#00aa0088
170,40.729913,-73.989892,#aa000088
171,40.736193,-73.997825,#00aa0088
172,40.780076,-73.982766,#aa000088
173,40.753759,-73.99205,#00aa0088
174,40.795203,-73.971217,#aa000088
175,40.825045,-73.951382,#00aa0088
176,40.769285,-73.988605,#aa000088
177,40.741904,-74.007508,#00aa0088
178,40.79323,-73.9743,#aa000088
179,40.801265,-73.963638,#00aa0088
180,40.744184,-73.979214,#aa000088
181,40.750207,-73.986777,#00aa0088
182,40.775031,-73.982016,#aa000088
183,40.761669,-73.968581,#00aa0088
184,40.742584,-73.984283,#aa000088
185,40.731559,-73.992706,#00aa0088
186,40.762482,-73.972763,#aa000088
187,40.750087,-73.99533,#00aa0088
188,40.681338,-73.975452,#aa000088
189,40.741266,-73.997702,#00aa0088
190,40.744281,-73.992147,#aa000088
191,40.756613,-73.997648,#00aa0088
192,40.764045,-73.956339,#aa000088
193,40.768051,-73.963983,#00aa0088
194,40.751491,-73.994373,#aa000088
195,40.756728,-73.974342,#00aa0088
196,40.764107,-73.984414,#aa000088
197,40.742242,-73.981409,#00aa0088
198,40.75114,-73.975277,#aa000088
199,40.766628,-73.986412,#00aa0088
200,40.774121,-73.981079,#aa000088
201,40.778819,-73.945998,#00aa0088
202,40.779941,-73.976567,#aa000088
203,40.753566,-73.968263,#00aa0088
204,40.725382,-73.986917,#aa000088
205,40.717951,-74.014024,#00aa0088
206,40.7827,-73.959485,#aa000088
207,40.762663,-73.977075,#00aa0088
208,40.749941,-73.991755,#aa000088
209,40.743421,-73.980579,#00aa0088
210,40.751646,-73.978294,#aa000088
211,40.679467,-73.972772,#00aa0088
212,40.768515,-73.985315,#aa000088
213,40.73984,-73.992807,#00aa0088
214,40.763279,-73.97266,#aa000088
215,40.759989,-73.984145,#00aa0088
216,40.743115,-74.007671,#aa000088
217,40.769101,-73.995766,#00aa0088
218,40.772694,-73.966828,#aa000088
219,40.762731,-73.974378,#00aa0088
220,40.788683,-73.976347,#aa000088
221,40.634185,-73.945431,#00aa0088
222,40.773735,-73.8709,#aa000088
223,40.762082,-73.978753,#00aa0088
224,40.764823,-73.969934,#aa000088
225,40.765855,-73.955089,#00aa0088
226,40.780762,-73.952605,#aa000088
227,40.724625,-73.998382,#00aa0088
228,40.743479,-73.983706,#aa000088
229,40.759291,-73.982091,#00aa0088
230,40.743066,-73.989306,#aa000088
231,40.735904,-74.005001,#00aa0088
232,40.759613,-73.995546,#aa000088
233,40.728236,-73.986504,#00aa0088
234,40.78006,-73.955208,#aa000088
235,40.758383,-73.992657,#00aa0088
236,40.783925,-73.979973,#aa000088
237,40.746973,-74.009579,#00aa0088
238,40.747291,-73.993899,#aa000088
239,40.742915,-73.97442,#00aa0088
240,40.740955,-74.007539,#aa000088
241,40.738482,-73.997258,#00aa0088
242,40.765739,-73.979761,#aa000088
243,40.794931,-73.966064,#00aa0088
244,40.754536,-73.985297,#aa000088
245,40.738229,-73.987967,#00aa0088
246,40.783555,-73.947762,#aa000088
247,40.73719,-73.983136,#00aa0088
248,40.73871,-73.996025,#aa000088
249,40.736668,-73.990931,#00aa0088
250,40.799088,-73.962993,#aa000088
251,40.766275,-73.981917,#00aa0088
252,40.75621,-73.967915,#aa000088
253,40.749859,-73.991533,#00aa0088
254,40.743071,-73.9925,#aa000088
255,40.730743,-73.980098,#00aa0088
256,40.712718,-74.00992,#aa000088
257,40.724263,-73.939503,#00aa0088
258,40.729477,-73.987126,#aa000088
259,40.707399,-74.012058,#00aa0088
260,40.743677,-73.973007,#aa000088
261,40.76721,-73.954781,#00aa0088
262,40.717015,-74.014239,#aa000088
263,40.745219,-74.004131,#00aa0088
264,40.715433,-74.007285,#aa000088
265,40.752711,-73.969063,#00aa0088
266,40.773103,-73.885328,#aa000088
267,40.745837,-73.994095,#00aa0088
268,40.758799,-73.979693,#aa000088
269,40.75655,-73.988413,#00aa0088
270,40.779015,-73.955687,#aa000088
271,40.78599,-73.977192,#00aa0088
272,40.739737,-74.006518,#aa000088
273,40.825874,-73.952941,#00aa0088
274,40.762692,-73.96771,#aa000088
275,40.752768,-73.992938,#00aa0088
276,40.724809,-73.997503,#aa000088
277,40.741442,-74.006249,#00aa0088
278,40.73118,-73.991744,#aa000088
279,40.708845,-74.005027,#00aa0088
280,40.768744,-73.952329,#aa000088
281,40.762081,-73.959891,#00aa0088
282,40.676826,-73.980211,#aa000088
283,40.68421,-73.994272,#00aa0088
284,40.732205,-74.007786,#aa000088
285,40.728143,-74.000178,#00aa0088
286,40.67064,-73.988467,#aa000088
287,40.68342,-73.977269,#00aa0088
288,40.76818,-73.993096,#aa000088
289,40.746838,-73.993771,#00aa0088
290,40.72097,-73.995967,#aa000088
291,40.741472,-73.993756,#00aa0088
292,40.770074,-73.965629,#aa000088
293,40.758637,-73.970794,#00aa0088
294,40.772114,-73.982052,#aa000088
295,40.781187,-73.981577,#00aa0088
296,40.746476,-74.00493,#aa000088
297,40.746099,-73.997863,#00aa0088
298,40.754274,-73.994113,#aa000088
299,40.774226,-73.871092,#00aa0088
300,40.764178,-73.971063,#aa000088
301,40.78304,-73.984205,#00aa0088
302,40.74635,-73.992893,#aa000088
303,40.73933,-73.989567,#00aa0088
304,40.774136,-73.872955,#aa000088
305,40.81649,-73.960527,#00aa0088
306,40.756306,-73.961823,#aa000088
307,40.729751,-73.978726,#00aa0088
308,40.733139,-73.989873,#aa000088
309,40.737628,-74.003391,#00aa0088
310,40.75908,-73.965392,#aa000088
311,40.726026,-73.995175,#00aa0088
312,40.771846,-73.978946,#aa000088
313,40.763073,-73.967538,#00aa0088
314,40.762115,-73.986135,#aa000088
315,40.763975,-73.976504,#00aa0088
316,40.737821,-73.992229,#aa000088
317,40.724004,-73.988203,#00aa0088
318,40.774261,-73.985117,#aa000088
319,40.778362,-73.950893,#00aa0088
320,40.757268,-73.990394,#aa000088
321,40.769482,-73.995285,#00aa0088
322,40.728234,-73.984813,#aa000088
323,40.750572,-73.983269,#00aa0088
324,40.762144,-73.979417,#aa000088
325,40.701098,-73.991428,#00aa0088
326,40.740421,-74.007816,#aa000088
327,40.753637,-73.98538,#00aa0088
328,40.742285,-74.004268,#aa000088
329,40.747523,-74.00589,#00aa0088
330,40.76383,-73.962095,#aa000088
331,40.761838,-73.9503,#00aa0088
332,40.771393,-73.982181,#aa000088
333,40.781895,-73.979187,#00aa0088
334,40.76721,-73.966252,#aa000088
335,40.76357,-73.977786,#00aa0088
336,40.735644,-73.985317,#aa000088
337,40.772225,-73.958809,#00aa0088
338,40.743967,-74.006936,#aa000088
339,40.735852,-73.993442,#00aa0088
340,40.744465,-73.983147,#aa000088
341,40.723473,-73.998677,#00aa0088
342,40.767788,-73.968409,#aa000088
343,40.761812,-73.970488,#00aa0088
344,40.766202,-73.965995,#aa000088
345,40.735504,-73.986564,#00aa0088
346,40.738847,-73.983332,#aa000088
347,40.774031,-73.945473,#00aa0088
348,40.750753,-74.002003,#aa000088
349,40.783266,-73.983159,#00aa0088
350,40.76565,-73.985604,#aa000088
351,40.765536,-73.955974,#00aa0088
352,40.759896,-73.972505,#aa000088
353,40.755963,-73.980448,#00aa0088
354,40.727924,-73.984984,#aa000088
355,40.688707,-73.9135,#00aa0088
356,40.783949,-73.952453,#aa000088
357,40.74541,-73.985569,#00aa0088
358,40.765028,-73.961358,#aa000088
359,40.784047,-73.950287,#00aa0088
360,40.752209,-73.977239,#aa000088
361,40.703889,-74.009147,#00aa0088
362,40.754287,-73.991747,#aa000088
363,40.765364,-73.981562,#00aa0088
364,40.735614,-74.005118,#aa000088
365,40.714621,-74.013692,#00aa0088
366,40.780923,-73.95455,#aa000088
367,40.681679,-73.949914,#00aa0088
368,40.752226,-73.99189,#aa000088
369,40.751075,-73.97914,#00aa0088
370,40.750239,-74.002423,#aa000088
371,40.763615,-73.995079,#00aa0088
372,40.749119,-74.003079,#aa000088
373,40.754309,-73.999351,#00aa0088
374,40.753771,-73.981086,#aa000088
375,40.779546,-73.952786,#00aa0088
376,40.715144,-73.992213,#aa000088
377,40.739192,-73.998843,#00aa0088
378,40.723768,-74.000263,#aa000088
379,40.738524,-73.997489,#00aa0088
380,40.727083,-73.980391,#aa000088
381,40.755181,-73.965219,#00aa0088
382,40.760824,-73.960867,#aa000088
383,40.736137,-74.000235,#00aa0088
384,40.742089,-73.982911,#aa000088
385,40.752046,-73.977112,#00aa0088
386,40.729069,-73.988612,#aa000088
387,40.719739,-74.001391,#00aa0088
388,40.741605,-73.977884,#aa000088
389,40.770962,-73.987085,#00aa0088
390,40.742762,-73.977313,#aa000088
391,40.770973,-73.987246,#00aa0088
392,40.752527,-73.980092,#aa000088
393,40.78241,-73.984792,#00aa0088
394,40.730534,-74.00205,#aa000088
395,40.79085,-73.949201,#00aa0088
396,40.726019,-73.994714,#aa000088
397,40.775324,-73.949668,#00aa0088
398,40.739744,-74.006173,#aa000088
399,40.704907,-74.011342,#00aa0088
400,40.779245,-73.954815,#aa000088
401,40.763032,-73.972035,#00aa0088
402,40.817308,-73.957371,#aa000088
403,40.800302,-73.9533,#00aa0088
404,40.755582,-73.979175,#aa000088
405,40.729094,-73.987291,#00aa0088
406,40.769225,-73.988563,#aa000088
407,40.757585,-73.973852,#00aa0088
408,40.73885,-73.991592,#aa000088
409,40.734332,-73.985554,#00aa0088
410,40.77972,-73.955842,#aa000088
411,40.788234,-73.97042,#00aa0088
412,40.735872,-73.998044,#aa000088
413,40.72265,-74.009678,#00aa0088
414,40.768427,-73.982372,#aa000088
415,40.854372,-73.938907,#00aa0088
416,40.734912,-73.991038,#aa000088
417,40.733866,-73.998077,#00aa0088
418,40.735742,-74.006751,#aa000088
419,40.742549,-73.989934,#00aa0088
420,40.75025,-73.979116,#aa000088
421,40.758982,-73.984562,#00aa0088
422,40.75762,-73.969322,#aa000088
423,40.775722,-73.956439,#00aa0088
424,40.761672,-73.997602,#aa000088
425,40.732352,-74.001803,#00aa0088
426,40.734771,-73.980043,#aa000088
427,40.765277,-73.970061,#00aa0088
428,40.744602,-73.981032,#aa000088
429,40.73252,-73.987908,#00aa0088
430,40.760605,-74.002799,#aa000088
431,40.740092,-73.995382,#00aa0088
432,40.740389,-73.985825,#aa000088
433,40.756783,-73.992612,#00aa0088
434,40.774944,-73.951053,#aa000088
435,40.780931,-73.952237,#00aa0088
436,40.710133,-74.01471,#aa000088
437,40.715139,-74.013598,#00aa0088
438,40.784462,-73.973668,#aa000088
439,40.713281,-74.011535,#00aa0088
440,40.750225,-73.973796,#aa000088
441,40.749336,-73.985404,#00aa0088
442,40.76095,-73.973118,#aa000088
443,40.775702,-73.958494,#00aa0088
444,40.781977,-73.971892,#aa000088
445,40.765169,-73.968238,#00aa0088
446,40.774367,-73.945361,#aa000088
447,40.782323,-73.953618,#00aa0088
448,40.728476,-73.987678,#aa000088
449,40.776856,-73.982097,#00aa0088
450,40.706545,-74.0079,#aa000088
451,40.725826,-74.00566,#00aa0088
452,40.734804,-73.988407,#aa000088
453,40.745268,-73.982811,#00aa0088
454,40.739836,-74.002398,#aa000088
455,40.724306,-73.991007,#00aa0088
456,40.707178,-74.004182,#aa000088
457,40.731858,-73.993342,#00aa0088
458,40.775754,-73.986165,#aa000088
459,40.770179,-73.983937,#00aa0088
460,40.73399,-74.00387,#aa000088
461,40.742879,-74.000203,#00aa0088
462,40.742723,-74.007464,#aa000088
463,40.721664,-74.004311,#00aa0088
464,40.758273,-73.986285,#aa000088
465,40.641405,-73.973458,#00aa0088
466,40.779103,-73.955732,#aa000088
467,40.75991,-73.991672,#00aa0088
468,40.771293,-73.956623,#aa000088
469,40.723167,-73.998258,#00aa0088
470,40.760874,-73.975831,#aa000088
471,40.754261,-73.989851,#00aa0088
472,40.742529,-73.982009,#aa000088
473,40.731488,-73.991653,#00aa0088
474,40.726702,-73.983123,#aa000088
475,40.751397,-73.976682,#00aa0088
476,40.743855,-74.00645,#aa000088
477,40.772362,-73.958719,#00aa0088
478,40.756378,-73.972443,#aa000088
479,40.746262,-73.990178,#00aa0088
480,40.765438,-73.98187,#aa000088
481,40.751843,-74.003882,#00aa0088
482,40.722878,-73.998258,#aa000088
483,40.744575,-73.991421,#00aa0088
484,40.785752,-73.972578,#aa000088
485,40.776037,-73.979512,#00aa0088
486,40.752977,-73.969675,#aa000088
487,40.766835,-73.956664,#00aa0088
488,40.779186,-73.962056,#aa000088
489,40.75525,-73.993464,#00aa0088
490,40.750226,-73.994022,#aa000088
491,40.748184,-74.003027,#00aa0088
492,40.762748,-73.98951,#aa000088
493,40.721628,-73.987711,#00aa0088
494,40.736876,-73.98876,#aa000088
495,40.779186,-73.957805,#00aa0088
496,40.769938,-73.988016,#aa000088
497,40.805625,-73.961874,#00aa0088
498,40.692293,-73.98254,#aa000088
499,40.732285,-73.9849,#00aa0088
500,40.749797,-73.990645,#aa000088
501,40.751269,-73.97658,#00aa0088
502,40.746301,-73.982303,#aa000088
503,40.768018,-73.956569,#00aa0088
504,40.770377,-73.951888,#aa000088
505,40.765179,-73.966066,#00aa0088
506,40.740566,-74.005678,#aa000088
507,40.737175,-74.001656,#00aa0088
508,40.75877,-73.993446,#aa000088
509,40.773808,-73.988802,#00aa0088
510,40.721925,-74.002081,#aa000088
511,40.780495,-73.9617,#00aa0088
512,40.706835,-74.004288,#aa000088
513,40.768445,-73.861917,#00aa0088
514,40.757582,-73.963111,#aa000088
515,40.772451,-73.982498,#00aa0088
516,40.762788,-73.967875,#aa000088
